Job-Type,Date-Posted,Salary,Job-Title,Date-Scraped,Url,Company,Location,Description
Full-time,NA,NA,"TIP: Lead, Machine Learning Engineering careers in Upwork Caracas, Federal...",2023-01-08 13:36:15.074394 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Venezuela&ibp=htl;jobs&sa=X&ved=2ahUKEwjTqojQ6bj8AhUvAzQIHQlqB7wQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=p8DQgsQ0_zkAAAAAAAAAAA%3D%3D&fpstate=tldetail,Upwork,"Caracas, Capital District, Venezuela","This Job Listing is about Upwork in Caracas, Federal District, Venezuela 2022

About the job

Upwork ($UPWK) is the leading tech solution for companies looking to hire the best talent, maintain flexibility, and get more done. We’re passionate about our mission to create economic opportunities so people have better lives. Every year, more than $2 billion of work is done through Upwork by skilled professionals who want the freedom of working anytime, anywhere. Top companies connecting with extraordinary talent around the globe? Upwork is how.

This is a Contract position through Upwork’s Talent Innovation Program (TIP). Our TIP team is a global group of professionals that augment Upwork’s business. Our TIP team members are located all over the world.

Work/Project Scope
• Ground up all the way to production (e.g. SQL, Python, Scala, Java)In this role, you will:
• Build and deploy machine learning models that will become core components driving our marketplaceDive deep into the data and... share your insights across the business
• Collaborate with product, engineering, and analytics from around the world on key initiatives

Must Haves (Required Skills)
• Deep knowledge of machine learning, information retrieval, recommender systems, natural language processing or related fields
• Solid programming skills that enable you to retrieve, analyze and process data, and build machine learning models from the
• Superior ability to analyze and interpret the results of product experiments
• Employment history preferably a recognizable consumer Internet company
• Strong communication skills, both written and verbal

Upwork is proudly committed to fostering a diverse and inclusive workforce. We never discriminate based on race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical condition), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.

Company: Upwork

Vacancy Type: Contract · Mid-Senior level

Job Location: Caracas, Federal District, Venezuela

Application Deadline: N/A

Apply Here

ve.q4jobs.com"
Full-time,NA,NA,Data Collector | Venezuela | Work From Home Opportunities vacancy in Appen...,2023-01-08 13:36:15.647351 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Venezuela&ibp=htl;jobs&sa=X&ved=2ahUKEwjTqojQ6bj8AhUvAzQIHQlqB7wQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=MuBUYPfSb7EAAAAAAAAAAA%3D%3D&fpstate=tldetail,Appen,"Valencia, Carabobo, Venezuela","This Job listing For Year 2022 is about Appen in Valencia, Carabobo, Venezuela

About the job

We are a company that specializes development of machine learning and artificial intelligence products. Our team are currently looking for aspiring candidates in different counties, states, and languages for an exciting work-from-home opportunities!

Do you want to be a part of something bigger than yourself? Would you like to help make business search results better for end-users? This project is for you!

The goal of this project is to tap into the collective intelligence of the public at large. Results of tasks will be used in wide variety of applications – data annotation, multimedia, sentiment analysis and search engine result evaluation.

Requirements:
• Computer OS should be Microsoft Vista, Microsoft Windows 7 and above
• 3 to 5 years of residency in the country you are located
• Windows Live ID (WLID)

Please follow the steps below on how to apply for the project:

1. Visit the... Appen website using the link below:

2. Choose Spanish (VENEZUELA) as your primary language.

3. Make sure to add all your native languages when creating your profile in the system. Once your account has been created, click the ‘All Projects’ Tab then you will see the “Continue” button on the right side of the “Unlock More Projects Complete your profile”, complete the required information to unlock more projects.

Don’t miss the chance to earn extra income working from the comfort of your own home. This is a great opportunity for you and your friends!

• Work from home with flexible hours

• You can work on our projects around your other jobs

A diverse, inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds.

Thank you and we hope to work with you soon!

Company: Appen

Vacancy Type: Part-time · Entry level

Job Location: Valencia, Carabobo, Venezuela

Application Deadline: N/A

Apply Here

ve.q4jobs.com"
