Job-Type,Date-Posted,Salary,Job-Title,Date-Scraped,Url,Company,Location,Description
Full-time,2023-01-08,NA,Personalized Internet Assessor -Persian Speaker in Afghanistan,2023-01-08 13:37:09.771052 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Afghanistan&ibp=htl;jobs&sa=X&ved=2ahUKEwjV05vq6bj8AhVZPn0KHTVCCacQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=YW_nXW-mF0cAAAAAAAAAAA%3D%3D&fpstate=tldetail,TELUS International AI Data Solutions,Afghanistan,"TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.com

We are hiring Personalized Internet Assessors in Afghanistan (Persian Language)

In this role you will be reviewing online search results in order to improve their content and quality. You will be required to provide feedback and analysis on content found in search engine results and provide ratings on their... relevance to the search terms used. Another aspect of this role will involve reviewing the language used in the search results by examining grammar, tone and cultural relevance.

Through this work you will be making a valuable contribution by expressing your opinion on the quality and content of what is currently out there on the web. You will play a part in improving the quality of one of the largest search engines in the world using both your PC and Smartphone.

Who is suitable for this role?

We are currently seeking dynamic and creative people who have a strong interest in social media, specifically those who are an active daily user of their Gmail account. We also require suitable candidates to own & use an Android or iPhone and have a familiarity with other forms of social media and Google products. You should also be flexible, reliable and have the ability to interpret and follow established guidelines.

You will have the flexibility and freedom to work from your own home, working your own hours. We are currently seeking people who have a specific smartphone device (Android V4.2 or higher or iPhone running iOS version 13.0 or higher) to complete tasks.

What are the main requirements for the role?
• You must have full professional proficiency in both written and verbal English & Persian (Farsi)
• You must be living in Afghanistan for the last 5 consecutive years
• You must own and use a Smartphone (Android V4.2 or higher or iPhone running iOS version 13.0 or higher) to complete tasks
• The majority of the task types will require both a desktop/laptop and a smartphone
• Gmail must be your primary email
• Active daily user of Gmail and other forms of social media
• You must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in Afghanistan
• Access to and use of a broadband internet connection and associated computer and software to perform the work, all provided at your own expense
• Experience in use of web browsers to navigate and interact with a variety of content

Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks.

Why Join the TELUS International AI Community?
• Earn extra income
• Access to our community wellbeing initiative
• Remote work & Location Independence
• Be your own boss
• Flexible Hours to fit in with your lifestyle
• Be a part of an online community

What’s next?

If this sounds like a role you’d be interested in taking on, please apply below.

https://jobs.telusinternational.com/en_US/careers/PipelineDetail/Personalized-Internet-Assessor-Afghanistan-Persian-Language/24655"
Full-time,NA,NA,Senior Software Engineer,2023-01-08 13:37:10.338357 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Afghanistan&ibp=htl;jobs&sa=X&ved=2ahUKEwjV05vq6bj8AhVZPn0KHTVCCacQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=sbZ3llcy3JwAAAAAAAAAAA%3D%3D&fpstate=tldetail,SnapX.ai,Afghanistan,"Job Summary:As a Senior Software Engineer you will join a rapidly growing team building the most innovative online B2B recruitment marketplace. We are seeking full stack creative thinkers, who thrive in a fast-paced environment. If you don't mind rolling up your sleeves to dive into our product, while delivering top quality software that will thrill our customers, apply now. This is a fully remote opportunity that offers an exceptional work/life balance.

Supervisory Responsibilities:
• Participates in interviews for new hires
• Coaches junior engineers (process, code base, best practices)
• Acts as Technical Team Lead for specific features in a Scrum team:
• Work closely with the product manager during discovery
• Owns technical design for new features
• Co-owns velocity of the team (in collaboration with the Engineering Manager)
• Manages releases and cross-team dependencies
• Participates in cross-team discussions around processes and architecture... improvements

Duties/Responsibilities/Primary Function:
• Develop large features and improvements to the Scout platform
• Write unit tests to maintain test coverage
• Contributes to improvements of the code structure towards improved maintainability and testability
• Drives coding best practices within the team
• Participate in code review
• Participate in the agile development process (design reviews, planning, retrospectives…)
• Write and review large technical designs
• Keep up-to-date with relevant advances in the field

Required Skills/Abilities/Profile:
• CS fundamentals (data structure and algorithms)
• Deep knowledge of modern web applications
• Expert in Python/Go
• Proficient with JavaScript / TypeScript / React
• Good knowledge of MongoDB or SQL
• Proficient with Git
• Proficient with Docker (Kubernetes is a plus)
• Experience with AWS is a plus
• Good written and verbal communication
• Ability to operate independently in a remote environment

Education and Experience:
• 7+ years of professional experience in software development, preferably developing web applications.
• Bachelor Degree in Computer Science or related field is a plus

Physical Requirements:
• Prolonged periods of sitting at a desk and working on a computer of up to 8hrs per day.
• Remote position"
Contractor,2023-01-08,NA,IT - Senior Technology Lead,2023-01-08 13:37:10.906515 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Afghanistan&ibp=htl;jobs&sa=X&ved=2ahUKEwjV05vq6bj8AhVZPn0KHTVCCacQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=Grm4mbhL_FIAAAAAAAAAAA%3D%3D&fpstate=tldetail,SOFTHQ INC,Afghanistan,"Job Title: IT - Senior Technology Lead | data science | Machine Learning

Job Description: POC: Bharath

ATTENTION ALL SUPPLIERS

READ BEFORE SUBMITTING

UPDATED CONTACT NUMBER and EMAIL ID is a MANDATORY REQUEST from our client for all the submissions Limited to 1 submission per supplier. Please submit your best.

We prioritize endorsing those with complete and accurate information Avoid submitting duplicate profiles. We will Reject/Disqualify immediately.

Make sure that candidate's interview schedules are updated. Please inform the candidate to keep their lines open.

MANDATORY: Please include in the resume the candidate's complete & updated contact information (Phone number, Email address and Skype ID) as well as a set of 5 interview timeslots over a 72-hour period after submitting the profile when the hiring managers could potentially reach to them. PROFILES WITHOUT THE REQUIRED DETAILS and TIME SLOTS will be REJECTED.

Job Title: Senior Data Scientist

Work Location & Reporting... Address: Chicago, IL 60606 (Remote working is available but should support CST hours) Vendor Rate: $61.00 - $100/hr (Please submit within this range only) Contract duration: 8+

Target Start Date 15 Nov 2022

Does this position require Visa independent candidates only? No

Job Details:

Must Have Skills

Machine Learning

SAS

R or Python

Nice to have skills

Gradient boosting models

ML on unstructured data using transfer learning (NLP, computer vision, audio, signal processing) Unsupervised techniques (clustering, dimensionality reduction, etc.)

Minimum Qualifications:

PhD (or MS +18 months experience) ) in Statistics or other related quantitative field involving quantitative analysis and application of advanced statistical methods Experience with statistics and/or forecasting and/or machine learning techniques Experience in model prototyping through use of statistical package(s) including SAS Experience with R and/or Python

Preferred Qualifications:

Previous applied knowledge or experience with one or more of the following:

Gradient boosting models

ML on unstructured data using transfer learning (NLP, computer vision, audio, signal processing) Unsupervised techniques (clustering, dimensionality reduction, etc.) Minor in computer science and/or formal advanced computer science coursework preferred 2+ years of professional experience in analytical field 1+ years of airline business experience 1+ years designing and programming/coding data structures for large-scale computer models

Detailed Job Description

Experience in model prototyping through use of statistical packages including SAS. Experience with R or Python. Experience with statistics or forecasting or machine learning techniques. in Statistics or other related quantitative field involving quantitative analysis and application of advanced statistical methods

Minimum years of experience

8-10 years

Certifications Needed :No

Top 3 responsibilities you would expect the Subcon to shoulder and execute Experience with statistics andor forecasting andor machine learning techniques Model Prototyping Previous applied knowledge or experience with one or more of the following Gradient boosting models ML on unstructured data using transfer learning NLP, computer vision, audio, signal processing Unsupervised techniques clustering, dimensionality reduction, etc.

Release Comments:

Please use the below link to begin submitting Candidates.

https://prod2.beeline.com/infosys?2fc35e22cdae4bd29f3a4bab3b21d067"
