Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Engineer,2023-01-27,2023-01-30 12:12:51,https://www.google.com/search?q=Machine+Learning+Jobs+Bolivia&ibp=htl;jobs&sa=X&ved=2ahUKEwjsj7CCgPD8AhUxIX0KHZs7AeEQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=66CzTy8TX1AAAAAAAAAAAA%3D%3D&fpstate=tldetail,Applaudo,Full-time,NA,Bolivia,"Job DescriptionWe are looking for a Machine Learning Engineer to use predictive modeling to increase and optimize customer experiences, revenue generation, loyalty targeting and other business outcomes.You are someone who wants to influence your own development. Youre looking for a company where you have the opportunity to pursue your interests and be able to grow professionally.You bring to Applaudo the following competencies:• Minimum 2 years of experience in positions related to machine learning.• Programming languages: R, Python.• DB: Sql, pandas, spark.• Cloud: AWS or GCP (minimum experience about deployments).• Strong knowledge about machine learning techniques: Computer vision, clustering, decision tree learning, artificial neural networks, NLP, classification models.• Strong knowledge about statistical techniques: regression, properties of distributions, statistical tests and proper usage, hypothesis testing, correlations and modeling, probability theory, bayesian... statistics, XGBoost, text mining, GLM/Regression, Random Forest, Boosting, Trees.• Familiarity with the following data modeling / visualization: plotly, seaborn, dash, tableau, powerBI, datastudios, D3• Experience about deploying microservices: Airflow Pipelines, prefect, Hybrid Cloud and Cloud, DevOps skills, CI/CD pipelines.• Good conversational level in English.You will be accountable for the following responsibilities:• Develop custom data models and algorithms to apply to data sets.• Coordinate with different functional teams to implement models and monitor outcomes.• Develop processes and tools to monitor and analyze model performance and data accuracy.• Ability to articulate and present insight into the working of relevant algorithms and models.Additional InformationHere at Applaudo Studios values as trust, communication, respect, excellence and team work are our keys to success. We know we are working with the best and thus treat each other with respect and admiration without asking.Submit your application today, and don't miss this opportunity to join the Best Digital team in the Region!We truly appreciate all the hard and outstanding work our team makes every day at Applaudo Studios, and that's why the perks that we offer, are deeply thought and designed as a way to thank them for their commitment and excellence.Some of our perks and benefits:• Work from home• Flexible schedule• Celebrations• Special discounts• Entertainment area• Flexible work spaces• Great work environment• Private medical insurance• Benefits may vary according to your location and/or availability. Request further information when applying"
Senior Data Scientist - Remote Work / Ref. 0960E (RD),2023-01-24,2023-01-30 12:12:52,https://www.google.com/search?q=Machine+Learning+Jobs+Bolivia&ibp=htl;jobs&sa=X&ved=2ahUKEwjsj7CCgPD8AhUxIX0KHZs7AeEQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=frLaNfa5Ke0AAAAAAAAAAA%3D%3D&fpstate=tldetail,BairesDev SA,Full-time,NA,"La Paz, Bolivia","Who we areBairesDev is proud to be the fastest-growing company in America. With people on five continents and world-class clients, we are only as strong as the multicultural teams at the heart of our business. To consistently deliver the highest quality solutions to our clients, we only hire the Top 1% of the best talents and nurture their professional growth on exciting projects.Senior Data Scientist at BairesDevWe are looking for outstanding Senior Data Scientist to join BairesDevs Research & Development Team (R&D). This professional will be responsible for using data and machine learning techniques to help the business automate and scale decision making, mainly by producing advanced data analysis reports and data-based models to infer and predict patterns.What You Will Do:- Help to improve data literacy and the overall analytical environment across the company.- Handle both structured and unstructured data using SQL and other programming languages.- Perform advanced... data analysis and report results.- Tell the story behind data in a compelling manner for business people.- Build predictive models and machine-learning algorithms.- Combine models through ensemble modeling.- Propose solutions and strategies to business challenges.- Help to design and execute experiments for hypothesis testing.- Participate actively in discussions and decisions regarding the whole Data Science chapter.- Collaborate with data product managers to build awesome data products.- Work with management to prioritize business and information needs.- Help to spread data-driven mindset and to improve data literacy. Be a data evangelist.Heres what we are looking for:- 3+ years of experience with data science, machine learning, IA, statistical, and other related areas.- Proficiency with SQL.- Proficiency in Python, R, or another major programming language.- Excellent communication skills, capacity to collaborate and build relationships with non-technical users.- Strong knowledge of probability and statistics that may include experimental design, predictive modeling, optimization, and causal inference.- Hands-on experience with machine learning, like regression classification, clustering, neural networks, feature selection, cross-validation, curse of dimensionality, bias-variance tradeoff, model explainability, NLP, etc.Desirable:- Experience with people analytics or growth.- Experience with data visualization tools.- Good understanding of the engineering challenges to deploy machine learning systems to production.How we do make your work (and your life) easier:- 100% remote work.- Hardware setup for your WFH.- Flexible hours - make your schedule.- Paid parental leave, vacation & holidays.- Diverse and multicultural work environment.- An innovative environment with the structure and resources of a leading multinational.- Excellent compensation - well above the market average.- Here you can grow at the speed of your learning curve.Our people work remotely but with a consistent and robust culture that promotes diversity and teamwork. To continue being the leading software development company in Latin America, we want to ensure that every BairesDev member gets the best growth and professional development opportunities in a diverse, welcoming, and innovative environment.Every BairesDev team member brings something unique to our company.We want to hear your story. Apply now! .-Requerimientos- Educacin mnima: Universidad3 aos de experienciaIdiomas: InglsConocimientos: SQL Server, Python, R, Tecnologa de la informacin, Impala, Apache Hive, Hadoop, Spark, Lean, AgileDisponibilidad de viajar: NoDisponibilidad de cambio de residencia: NoPalabras clave: datos, cientifico, home, casa, remoto, teletrabajo"
Sr. Data Scientist,2023-01-27,2023-01-30 12:12:52,https://www.google.com/search?q=Machine+Learning+Jobs+Bolivia&ibp=htl;jobs&sa=X&ved=2ahUKEwjsj7CCgPD8AhUxIX0KHZs7AeEQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=AHbAZHwceFEAAAAAAAAAAA%3D%3D&fpstate=tldetail,Waverley Software,Full-time,NA,Bolivia,"Our client helps companies keep their people and operations secure with Micro-Intelligence, or street-level threat assessments. Using AI to aggregate public and proprietary information, the product has created the worlds largest dataset of global threat patterns. A visualization platform helps companies conduct geolocation-based analysis for travel safety, threat intelligence, crisis management, and site selection and expansion.We are looking for an team member with experience in data analysis, data science, EDA, and/or machine learning.Key required skilled:GIS experience and Python developmentKEY RESPONSIBILITIES Work with the product team & customers to understand user needs, define requirements and deliver data-driven insights that support platform use cases. Triage issues and customer requests, perform analysis, and facilitate development work with the engineering and data science teams. Wrangle and analyze spatiotemporal data to identify patterns and trends... including exploratory data analysis, report creation, and supporting product discovery efforts. Organize, define processes, and coordinate data research to collect, analyze and assess threat datasets internationally for curation and inclusion in the company platform Support data ingestion pipelines through issue triage, investigation, pattern detection and troubleshooting Support development, evaluation and further enhancement of Machine Learning and NLP models. Maintain and improve the documentation used for the labeling campaign. Participate in the labeling campaign, and help to coordinate the team of analysts and interns involved in the project, resolve any issues related to the labeling. Working knowledge of AWS cloud service (EC2, S3, RDS, OpenSearch, Redshift, ECS, CloudWatch, etc.)TECHNOLOGIES WE USE Languages: Python (Numpy, Pandas, GeoPandas, plotly, seaborn), SQL Tools: AWS, Git, Docker, Kubernetes, Swagger/OpenAPI Datastores: Postgres (with POSTGIS), S3, Elasticsearch NN frameworks/libraries: Spacy, Tensorflow/Keras (Transformers, LSTMs, CRFs) Conventional DS frameworks/libraries: LightGBM, XGBoost, Scikit-learn"
