Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Senior Machine Learning Engineer,NA,2023-01-30 12:43:32,https://www.google.com/search?q=Machine+Learning+Jobs+Uzbekistan&ibp=htl;jobs&sa=X&ved=2ahUKEwjBnvnvhvD8AhV-AzQIHWCCAFEQutcGKAF6BAgSEAU#htivrt=jobs&htidocid=mN0ZzzJqAbUAAAAAAAAAAA%3D%3D&fpstate=tldetail,EPAM Systems,Full-time,NA,Uzbekistan,"DESCRIPTIONWe are looking for a Senior Machine Learning Engineer who will design and implement standardized processes and technology capabilities for ML systems. If you are experienced in defining strategies and tools  we have a hire-to-train offering for you.WHAT YOULL DO• Collaborate with the Data Science team and analyze their work from an ML engineering point of view• Create a roadmap to bring ML artefacts to life• Participate in the code review process• Design and build reproducible ML pipeline end to end• Analyze and communicate model performance• Write reliable code that other software engineers can extend• Stay up to date with current frameworks and suggest new ones• Build a framework (coordination between teams, DevOps, Data Engineers, QA, MLE, DS)WHAT YOU HAVE• Expertise in Python and its ecosystem• Familiarity with ML, software engineering and distributed computing basics• Background in DBMS and different data models (relational, columnar, document... etc.)• Competency in building HTTP-based APIs for distributed systems• Flexibility to use such machine learning tools as Pandas, Numpy, Scikit-Learn, TensorFlow, PyTorch, DeepAR, Prophet, Catboost, XGBoost, Spark, PySpark and such tasks as Time Series forecasting, Computer Vision, Recommendation SystemsNICE TO HAVE• Understanding how web applications are created and organized• Experience withcontinuous integrationand developmentWE OFFER• Outstanding career development opportunities with a transparent roadmap to accelerate your journey• Knowledge sharing within the community of 61,600+ industrys top professionals worldwide• Various opportunities for self-development: hard & soft skills internal training courses, mentoring programs, and unlimited access to 8,000+ LinkedIn Learning courses• Free English classes with certified teachers• Competitive compensation in USD, regular assessments and salary reviews• Flexible schedule and opportunity to work remotely from any place in Uzbekistan• Relocation opportunities within our offices in 45+ countries with throughout support for you and your family• 4 trust days per year (sick leave without a medical certificate)• Bonuses for participating in the referral program• Friendly team, enjoyable working environment, and flexible working schedule• Medical & family care programs, wellness & fitness programs, corporate and social eventsABOUT EPAM• EPAM is a leading global provider of digital platform engineering and development services. We are committed to having a positive impact on our customers, our employees, and our communities. We embrace a dynamic and inclusive culture. Here you will collaborate with multi-national teams, contribute to numerous innovative projects that deliver the most creative and cutting-edge solutions, and have an opportunity to learn and grow continuously. No matter where you are located, you will join a dedicated, creative, and diverse community to help you discover your fullest potential"
Lead Machine Learning Engineer,NA,2023-01-30 12:43:32,https://www.google.com/search?q=Machine+Learning+Jobs+Uzbekistan&ibp=htl;jobs&sa=X&ved=2ahUKEwjBnvnvhvD8AhV-AzQIHWCCAFEQutcGKAF6BAgSEAU#htivrt=jobs&htidocid=HYgH9VWC29IAAAAAAAAAAA%3D%3D&fpstate=tldetail,EPAM Systems,Full-time,NA,Uzbekistan,"DescriptionWe are looking for a Lead Machine Learning Engineer who will design ML models with continuous training and build frameworks for data scientists. Apply for the vacancy if you are highly competent in creating and deploying production applications and data pipelines.WHAT YOULL DO• Manage the transition of machine learning algorithms to the production environment and integration with the enterprise ecosystem• Design, maintain, and optimize the complete end-to-end machine learning life cycle• Design specifications, documentation and user guides• Contribute to the improvement of SDLC practices, establish and configure CI/CD/CT processes• Provide capabilities for early detection of various drifts (data, concept, schema, etc.)WHAT YOU HAVE• 5+ years of experience in enterprise software development• 3+ years of background in Machine Learning• Qualifications in designing, building and deploying production applications and data pipelines• Competency in the development... of highly available, largely scalable, ML-driven applications and systems• Hands-on expertise in the implementation of SDLC best practices• Knowledge of Python development• Familiarity with Cloud-native services (GCP, AWS, Azure) and Apache Spark Ecosystem (Spark SQL, MLlib/Spark ML)NICE TO HAVE• Expertise in MLOps-related platforms/technologies• Production experience in integrating ML models into complex data-driven systems/IoT devices/mobile devices• Competency in basic software engineering tools (CI/CD environments such as Jenkins or BuildKit, PyPI, Docker, Kubernetes)WE OFFER• Outstanding career development opportunities with a transparent roadmap to accelerate your journey• Knowledge sharing within the community of 61,300+ industrys top professionals worldwide• Various opportunities for self-development: hard & soft skills internal training courses, mentoring programs, and unlimited access to 8,000+ LinkedIn Learning courses• Free English classes with certified teachers• Competitive compensation in USD, regular assessments, and salary reviews• Bonuses for participating in the referral program• Flexible schedule and opportunity to work remotely from any place in Uzbekistan• Friendly team, and enjoyable working environment• Relocation opportunities within our offices in 50+ countries with throughout support for you and your family• Four trust days per year (sick leave without a medical certificate)• Medical & family care programs, wellness & fitness programs, corporate and social eventsABOUT EPAM• EPAM Uzbekistan is a team of technologists and innovators united by technology. In 2019, we opened our first office in Tashkent. Since then, weve built a continuously learning organization that helps its employees reach their full potential and achieve professional goals through learning. Our agile methodologies, customer collaboration frameworks, engineering excellence programs, and hybrid teams offer many career paths and development opportunities"
Artificial Intelligence (AI) / Machine Learning Intern,2023-01-10,2023-01-30 12:43:33,https://www.google.com/search?q=Machine+Learning+Jobs+Uzbekistan&ibp=htl;jobs&sa=X&ved=2ahUKEwjBnvnvhvD8AhV-AzQIHWCCAFEQutcGKAF6BAgSEAU#htivrt=jobs&htidocid=dCcay2z5uZ8AAAAAAAAAAA%3D%3D&fpstate=tldetail,Greenie Web,Full-time,NA,Uzbekistan,"Greenie Web is a ClimateTech startup that enables the the green transition through technology.The RoleYour Responsibilities Will Include• Creating predictive and prescriptive models that could have a positive impact on the business.• Driving data modelling activities ranging from conceptualization, visualization to operationalization.• Performing statistical analysis on historical data to validate models.• Working across stakeholders to identify and capitalize on opportunities to leverage data to drive business solutions.• Gathering and evaluating user feedback.• Providing code documentation and other inputs to technical documents.• Supporting continuous improvement by investigating alternatives and new technologies and presenting these for architectural review.• Troubleshooting and debugging to optimize performance.Ideal ProfileSkills Required• You possess a minimally a bachelor's degree, ideally in Mathematics, Statistics, Computer Science or related field.• You... have at least 1 year experience, ideally within a Software Engineer or Data Scientist role.• Ability to write and execute complex queries in SQL or similar• You are highly goal driven and work well in fast paced environments• You are a self-starter and demonstrate a high level of resilience• You pay strong attention to detail and deliver work that is of a high standardWhat's on Offer• Opportunity to make a positive impact• Flexible working options• Leadership Role"
Flexible Work from Home Opportunity in Uzbekistan (Part-time),2023-01-06,2023-01-30 12:43:33,https://www.google.com/search?q=Machine+Learning+Jobs+Uzbekistan&ibp=htl;jobs&sa=X&ved=2ahUKEwjBnvnvhvD8AhV-AzQIHWCCAFEQutcGKAF6BAgSEAU#htivrt=jobs&htidocid=9bRYPiJc-_MAAAAAAAAAAA%3D%3D&fpstate=tldetail,TELUS International AI Data Solutions,Part-time,NA,"Bukhara, Uzbekistan","TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community.An exciting work from home opportunity related to Music, Video App Store, and HomePod! We offer flexible hours and schedule completing tasks in a web-based evaluation tool.The Role:Evaluation of online task types related to Music, Video, App Store and HomePod to help improve the overall quality and relevance of online content and... research.What are the main requirements for the job• Fluency in English & Russian is essential• You must be living in Uzbekistan for a minimum of 1 year• Apple user - Your email address must be associated with an Apple ID• Must own and use an iOS device (iPhone, iPad, iPod Touch) supporting the latest iOS version• Experience/know-how of Apple products is mandatoryBenefits & Perks:• Flexible hours to work around home life• Better Work-Life balance• Remote work & location independence• Positive environmental impact• Independent contractor roleInterested Please follow the steps below to apply:1. Create an account here:https://jobs.telusinternational.com/enUS/careers/PipelineDetail/Media-Search-Analyst-Uzbekistan-Russian-Language/344922. Click ""Sign Up"" and answer the necessary fields.3. Check your email inbox to confirm your email and set up your password and account. Please check your spam/junk folder as well.4. Select Uzbekistan as your country and Russian (Uzbekistan) as your primary language. Please note that you must set up your country and primary language correctly in order to view this project.5. Once you complete the registration process, click the ""Apply"" button to start your application process for the project.""All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status"
Work from Home Opportunity - Media Search Analyst in Uzbekistan,2023-01-10,2023-01-30 12:43:33,https://www.google.com/search?q=Machine+Learning+Jobs+Uzbekistan&ibp=htl;jobs&sa=X&ved=2ahUKEwjBnvnvhvD8AhV-AzQIHWCCAFEQutcGKAF6BAgSEAU#htivrt=jobs&htidocid=GmPTcMG5ow4AAAAAAAAAAA%3D%3D&fpstate=tldetail,TELUS International AI Data Solutions,Part-time,NA,"Almalyk, Uzbekistan","TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community.An exciting work from home opportunity related to Music, Video App Store, and HomePod! We offer flexible hours and schedule completing tasks in a web-based evaluation tool.The Role:Evaluation of online task types related to Music, Video, App Store and HomePod to help improve the overall quality and relevance of online content and... research.What are the main requirements for the job• Fluency in English & Russian is essential• You must be living in Uzbekistan for a minimum of 1 year• Apple user - Your email address must be associated with an Apple ID• Must own and use an iOS device (iPhone, iPad, iPod Touch) supporting the latest iOS version• Experience/know-how of Apple products is mandatoryBenefits & Perks:• Flexible hours to work around home life• Better Work-Life balance• Remote work & location independence• Positive environmental impact• Independent contractor roleInterested Please follow the steps below to apply:1. Create an account here:https://jobs.telusinternational.com/enUS/careers/PipelineDetail/Media-Search-Analyst-Uzbekistan-Russian-Language/344922. Click ""Sign Up"" and answer the necessary fields.3. Check your email inbox to confirm your email and set up your password and account. Please check your spam/junk folder as well.4. Select Uzbekistan as your country and Russian (Uzbekistan) as your primary language. Please note that you must set up your country and primary language correctly in order to view this project.5. Once you complete the registration process, click the ""Apply"" button to start your application process for the project.""All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status"
