Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Lead Machine Learning Engineer,NA,2023-01-30 12:28:04,https://www.google.com/search?q=Machine+Learning+Jobs+Kyrgyzstan&ibp=htl;jobs&sa=X&ved=2ahUKEwjGkMG1g_D8AhVPMTQIHZLEBCYQutcGKAF6BAgVEAU#htivrt=jobs&htidocid=_Zm64zg3K9EAAAAAAAAAAA%3D%3D&fpstate=tldetail,EPAM Systems,Full-time,NA,Kyrgyzstan,"DescriptionWe are looking for a Lead Machine Learning Engineer who will design ML models with continuous training and build frameworks for data scientists. Apply for the vacancy if you are highly competent in creating and deploying production applications and data pipelines.WHAT YOULL DO• Manage the transition of machine learning algorithms to the production environment and integration with the enterprise ecosystem• Design, maintain, and optimize the complete end-to-end machine learning life cycle• Design specifications, documentation and user guides• Contribute to the improvement of SDLC practices, establish and configure CI/CD/CT processes• Provide capabilities for early detection of various drifts (data, concept, schema, etc.)WHAT YOU HAVE• 5+ years of experience in enterprise software development• 3+ years of background in Machine Learning• Qualifications in designing, building and deploying production applications and data pipelines• Competency in the development... of highly available, largely scalable, ML-driven applications and systems• Hands-on expertise in the implementation of SDLC best practices• Knowledge of Python development• Familiarity with Cloud-native services (GCP, AWS, Azure) and Apache Spark Ecosystem (Spark SQL, MLlib/Spark ML)NICE TO HAVE• Expertise in MLOps-related platforms/technologies• Production experience in integrating ML models into complex data-driven systems/IoT devices/mobile devices• Competency in basic software engineering tools (CI/CD environments such as Jenkins or BuildKit, PyPI, Docker, Kubernetes)WE OFFER• Outstanding career development opportunities with a transparent roadmap to accelerate your journey• Knowledge sharing within the community of 61,300+ industrys top professionals worldwide• Various opportunities for self-development: hard & soft skills internal training courses, mentoring programs, and unlimited access to 8,000+ LinkedIn Learning courses• Free English classes with certified teachers• Competitive compensation in USD, regular assessments, and salary reviews• Bonuses for participating in the referral program• Flexible schedule and opportunity to work remotely from any place in Kyrgyzstan• Friendly team, and enjoyable working environment• Relocation opportunities within our offices in 50+ countries with throughout support for you and your family• 6 trust days per year (sick leave without a medical certificate)• Corporate and social eventsABOUT EPAM• EPAM Kyrgyzstan is a team of technologists and innovators united by passion for technology. In 2022, we opened our first office in Bishkek that works with the world's leading companies across many different industries. EPAM builds a continuously learning organization and helps its employees reach their full potential and achieve their professional goals through learning. Our agile methodologies, customer collaboration frameworks, engineering excellence programs, and hybrid teams offer many career paths and development opportunities"
Artificial Intelligence (AI) / Machine Learning Intern,2023-01-10,2023-01-30 12:28:05,https://www.google.com/search?q=Machine+Learning+Jobs+Kyrgyzstan&ibp=htl;jobs&sa=X&ved=2ahUKEwjGkMG1g_D8AhVPMTQIHZLEBCYQutcGKAF6BAgVEAU#htivrt=jobs&htidocid=5rbVqTzh0m4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Greenie Web,Full-time,NA,Kyrgyzstan,"Greenie Web is a ClimateTech startup that enables the the green transition through technology.The RoleYour Responsibilities Will Include• Creating predictive and prescriptive models that could have a positive impact on the business.• Driving data modelling activities ranging from conceptualization, visualization to operationalization.• Performing statistical analysis on historical data to validate models.• Working across stakeholders to identify and capitalize on opportunities to leverage data to drive business solutions.• Gathering and evaluating user feedback.• Providing code documentation and other inputs to technical documents.• Supporting continuous improvement by investigating alternatives and new technologies and presenting these for architectural review.• Troubleshooting and debugging to optimize performance.Ideal ProfileSkills Required• You possess a minimally a bachelor's degree, ideally in Mathematics, Statistics, Computer Science or related field.• You... have at least 1 year experience, ideally within a Software Engineer or Data Scientist role.• Ability to write and execute complex queries in SQL or similar• You are highly goal driven and work well in fast paced environments• You are a self-starter and demonstrate a high level of resilience• You pay strong attention to detail and deliver work that is of a high standardWhat's on Offer• Opportunity to make a positive impact• Flexible working options• Leadership Role"
Personalized Internet Assessor - Kyrgyz Speaker in Kyrgyzstan,2023-01-12,2023-01-30 12:28:05,https://www.google.com/search?q=Machine+Learning+Jobs+Kyrgyzstan&ibp=htl;jobs&sa=X&ved=2ahUKEwjGkMG1g_D8AhVPMTQIHZLEBCYQutcGKAF6BAgVEAU#htivrt=jobs&htidocid=EbLJfEddzDUAAAAAAAAAAA%3D%3D&fpstate=tldetail,TELUS International AI Data Solutions,Part-time,NA,Kyrgyzstan,"TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.comWe are hiring Personalized Internet Assessors in Kyrgyzstan (Kyrgyz Language)In this role you will be reviewing online search results in order to improve their content and quality. You will be required to provide feedback and analysis on content found in search engine results and provide ratings on their... relevance to the search terms used. Another aspect of this role will involve reviewing the language used in the search results by examining grammar, tone and cultural relevance.Through this work you will be making a valuable contribution by expressing your opinion on the quality and content of what is currently out there on the web. You will play a part in improving the quality of one of the largest search engines in the world using both your PC and Smartphone.Who is suitable for this roleWe are currently seeking dynamic and creative people who have a strong interest in social media, specifically those who are an active daily user of their Gmail account. We also require suitable candidates to own & use a smartphone  Android or iPhone  and have a familiarity with other forms of social media and Google products. You should also be flexible, reliable and have the ability to interpret and follow established guidelines.You will have the flexibility and freedom to work from your own home, working your own hours. We are currently seeking people who have a specific smartphone device (Android V4.2 or higher or iPhone running iOS version 13.0 or higher) to complete tasks.What are the main requirements for the role• You must have full professional proficiency in both written and verbal English & Kyrgyz• You must be living in Kyrgyzstan for the last 5 consecutive years• You must own and use a Smartphone (Android V4.2 or higher or iPhone running iOS version 13.0 or higher) to complete tasks• The majority of the task types will require both a desktop/laptop and a smartphone• Gmail must be your primary email• Active daily user of Gmail and other forms of social media• You must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in Kyrgyzstan• Access to and use of a broadband internet connection and associated computer and software to perform the work, all provided at your own expense• Experience in use of web browsers to navigate and interact with a variety of contentWorking on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks.Why Join the TELUS International AI Community• Earn extra income• Access to our community wellbeing initiative• Remote work & Location Independence• Be your own boss• Flexible Hours to fit in with your lifestyle• Be a part of an online communityWhats next• If this sounds like a role youd be interested in taking on, please apply below.https://jobs.telusinternational.com/enUS/careers/PipelineDetail/Personalized-Internet-Assessor-Afghanistan-Persian-Language/24655"
