Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Remote Senior Machine Learning Engineer Jobs,2023-01-21,2023-01-30 12:12:57,https://www.google.com/search?q=Machine+Learning+Jobs+Bosnia+Herzegovina&ibp=htl;jobs&sa=X&ved=2ahUKEwj404qFgPD8AhUtADQIHezLA74QutcGKAF6BAgWEAU#htivrt=jobs&htidocid=xAXOv091_qEAAAAAAAAAAA%3D%3D&fpstate=tldetail,Turing,Full-time,NA,Bosnia and Herzegovina,"A rapidly-growing company providing AI-enhanced nanomaterial synthesis solutions is looking for a Senior Machine Learning Engineer. The engineer will be providing a solid foundation for the team to build, scale, skip, and iterate on. The US-based company uses a data-driven process optimization approach to quickly analyze the vast nanomaterial synthesis in parameter spaces. This will be a full-time role that requires 4+ hours overlap with the PST time zone.Job Responsibilities:• Communicate, understand, and clarify tasks• Recommend different solutions and implementations to solve scalability issues• Use a holistic, test-oriented approach to troubleshoot and upgrade the application• Document and maintain software functionality• Deploy programs and evaluate user feedback• Comply with project plans and industry standardsJob Requirements:• Bachelors/Masters degree in Engineering, Computer Science (or equivalent experience)• At least 3+ years of relevant experience as a... machine learning engineer• Prolific experience working with Python, Computer Vision, and Machine Learning• Nice to have some experience with Data Engineering and DevOps technologies• Excellent communication and interpersonal skills"
Remote Work Opportunity in Bosnia,2023-01-11,2023-01-30 12:12:57,https://www.google.com/search?q=Machine+Learning+Jobs+Bosnia+Herzegovina&ibp=htl;jobs&sa=X&ved=2ahUKEwj404qFgPD8AhUtADQIHezLA74QutcGKAF6BAgWEAU#htivrt=jobs&htidocid=n15u9FWz2GcAAAAAAAAAAA%3D%3D&fpstate=tldetail,TELUS International AI Data Solutions,Part-time,NA,"Sarajevo, Bosnia and Herzegovina","TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.comWe are hiring Personalized Internet Assessors in Bosnia (Bosnian Language)In this role you will be reviewing online search results in order to improve their content and quality. You will be required to provide feedback and analysis on content found in search engine results and provide ratings on their relevance... to the search terms used. Another aspect of this role will involve reviewing the language used in the search results by examining grammar, tone and cultural relevance.Through this work you will be making a valuable contribution by expressing your opinion on the quality and content of what is currently out there on the web. You will play a part in improving the quality of one of the largest search engines in the world using both your PC and Smartphone.Who is suitable for this roleWe are currently seeking dynamic and creative people who have a strong interest in social media, specifically those who are an active daily user of their Gmail account. We also require suitable candidates to own & use a smartphone  Android or iPhone  and have a familiarity with other forms of social media and Google products. You should also be flexible, reliable and have the ability to interpret and follow established guidelines.You will have the flexibility and freedom to work from your own home, working your own hours. We are currently seeking people who have a specific smartphone device (Android V4.2 or higher or iPhone running iOS version 13.0 or higher) to complete tasks.What are the main requirements for the role• You must have full professional proficiency in both written and verbal English & Bosnian• You must be living in Bosnia for the last 5 consecutive years• You must own and use a Smartphone (Android V4.2 or higher or iPhone running iOS version 13.0 or higher) to complete tasks• The majority of the task types will require both a desktop/laptop and a smartphone• Gmail must be your primary email• Active daily user of Gmail and other forms of social media• You must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in Bosnia• Access to and use of a broadband internet connection and associated computer and software to perform the work, all provided at your own expense• Experience in use of web browsers to navigate and interact with a variety of contentWorking on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks.Why Join the TELUS International AI Community• Earn extra income• Access to our community wellbeing initiative• Remote work & Location Independence• Be your own boss• Flexible Hours to fit in with your lifestyle• Be a part of an online communityWhats nextIf this sounds like a role youd be interested in taking on, please apply below.In order to apply,Create an account using the link: https://www.telusinternational.ai/cmp/contributor/jobs/available/66, click the ""Sign Up"" button and fill the required fields.An email confirmation will be sent to your email to set your password and account.Then select Bosnia as your country and Bosnian (Bosnia) as your primary language. Then complete the registration process, do not forget to click the ""Apply"" button to start your application process for the project.Looking forward on you application, good luck!• *NOTE**: All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status"
Remote Senior Data Scientist Jobs,2023-01-21,2023-01-30 12:12:58,https://www.google.com/search?q=Machine+Learning+Jobs+Bosnia+Herzegovina&ibp=htl;jobs&sa=X&ved=2ahUKEwj404qFgPD8AhUtADQIHezLA74QutcGKAF6BAgWEAU#htivrt=jobs&htidocid=lbQ2PGCKMdQAAAAAAAAAAA%3D%3D&fpstate=tldetail,Turing,Full-time,NA,Bosnia and Herzegovina,"A live learning platform that connects students and professionals with personalized instruction for any subject on-demand is looking for a Senior Machine Learning / Data Scientist. The selected candidate will be in charge of creating prototypes that can be turned into real-time systems by engineering. The US-based purpose-driven company provides users with access to high-quality instruction and is on a mission to change the way people learn through technology. During their Series C round, the company raised more than $100mn in funding. This position requires 8+ hours overlap with the EST/PST time zone.Job Responsibilities:• Create algorithmic systems that allow learners and teachers to be more personalized• Collaborate with product, marketing, operations, and engineering to discover problems that have a big impact and turn them into objective functions• Design experiments to rapidly establish causal relationships• Drive initiatives from conception to completion with a measurable... business impact• Using mathematical methods, define inventive solutions to difficult challengesJob Requirements:• Bachelors/Masters degree in Engineering, Computer Science (or equivalent experience)• At least 3-5+ years of relevant data science experience• Expertise in performing ML or statistical analyses software in R or Python• Competency in statistical inference, probability, machine learning (unsupervised and supervised)• Experience with building recommender systems and implementation with a breadth of matching algorithms is nice to have• Experience with Bayesian reasoning, NLP, classification, ranking systems is desirable• Prior experience with production models, i.e., post-deployment responsibility• Excellent communication skills"
