Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Engineer,NA,2023-01-30 12:43:24,https://www.google.com/search?q=Machine+Learning+Jobs+Uruguay&ibp=htl;jobs&sa=X&ved=2ahUKEwi4u7bshvD8AhUBK30KHfZiB7YQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=e0ivW-TL0q4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Montevideo Labs,Full-time,NA,Uruguay,"Are you interested in designing and building world-class ML products using the best technologies Join us at Montevideo Labs to work for a top US tech company!With over 10 years of experience in the field of big data, top US tech firms spawn out of MIT and Harvard choose us to develop innovative products. We offer a unique opportunity to work from Uruguay while collaborating with highly talented engineers from world-class industry leaders.What is this position aboutWere looking for an engineer who will be working to build state of the art ML products and platforms that will directly impact the customer user experience. This position will give you the opportunity to unleash your potential while building products from the ground up and collaborating with remote world-class engineers.What skills are we looking for• Strong Python and Java,• Building data and ML pipelines (Spark, Pandas, Dask) using orchestrators such as Airflow• Proficient in cloud technologies such as AWS... or GCP,• Experience working with containerized applications (knowledge of Kubernetes as plus)• Seasoned use of basic data science libraries such as scikit-learn and SparkML• Ability to learn other libraries (e.g. Pytorch, Tensorflow)• Wrapping models in REST or gRPC services• Deep understanding of data structures, algorithms and software design concepts,• Strong analytical skills and desire to write clean, correct and efficient code.What about languagesExcellent written and verbal English for clear and effective communication is a must!How much experience must I haveWere looking for a senior engineer with relevant experience in building and deploying ML/AI apps to production in real time and batch mode at scale. We expect the candidate to be proficient in Python and Java production level coding and be able to ramp up quickly on new tech staks. Additionally were looking for an engineer who is able to break down complex problems into simple solutions, can work independently, enjoys moving quickly and working with smart talented peers. The candidate will have the opportunity to interview with the client.Whats the office life likeWe are currently working remotely and organizing virtual events but dont worry your birthday cake will be real! Due to the COVID19 Pandemic we are adopting all health protocols but we cant wait to return to our offices! We are really proud of our great office environment! Conveniently located in the heart of Carrasco, our office is home to many game nights, barbecues in the garden, and many other fun activities at our game lounge.A typical day at Montevideo Labs may involve solving challenging problems but also beating Guzman on our self-made arcade machine, playing chess with Luis, organizing ping-pong championships, planning your next meetup presentation or enjoying a complimentary lunch while learning from your coworkers! On Fridays we have on-site chefs cooking food specialties for us, as well as happy hours! Check us out on instagram! montevideolabs.Our perks include: All the equipment you need to harness your talent (Macbook and accessories). Flexible working options to help you strike the right balance. Mentoring and Development opportunities. Learning opportunities:• AWS Certifications (we are AWS Partners).• Study plans, courses and other certifications.• English Lessons. Travel opportunities to meet clients or participate in conferences. Anniversary and birthday gifts. Lunch, snacks and beverages available everyday (headquarters).So what are the next stepsOur team is eager to learn about your passion to develop smart data products. Apply below and well explore working together!Cheers!The team at Montevideo Labs"
Machine Learning Engineering Manager,NA,2023-01-30 12:43:25,https://www.google.com/search?q=Machine+Learning+Jobs+Uruguay&ibp=htl;jobs&sa=X&ved=2ahUKEwi4u7bshvD8AhUBK30KHfZiB7YQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=T_-qaZYhhVAAAAAAAAAAAA%3D%3D&fpstate=tldetail,ASAPP,Full-time,NA,Uruguay,"At ASAPP, we are on a mission to build transformative machine learning-powered products that push the boundaries of artificial intelligence and customer experience. We focus on solving complex, data-rich problems  the kind where there are huge systemic inefficiencies and where a real solution will have a significant economic impact. Our CX performance platform uses machine learning across both voice and digital engagement channels to augment and automate human work, radically increasing productivity and improving the efficiency and effectiveness of customer experience teams.We are looking for a Machine Learning Engineering Manager to join our team, to manage and inspire teams of engineers to build the future of our AI Products. You should have the passion to tackle tough problems by bringing your expertise to ASAPP to help us solve cutting edge machine learning and natural language processing (NLP) challenges.As a part of our team, you will design, develop, and deploy fast... efficient, and highly scalable machine learning algorithms that are applied to natural language processing problems, both as a leader and as a senior engineer. You'll work with our senior product team, engineers, and researchers to develop high quality software that is robust and reliable. Youll be faced with new technical challenges and things to learn about ML and software engineering on a daily basis.We encourage applicants from all locations in Uruguay to apply.What you'll do• Be responsible for growing and developing an incredible team of talented and motivated engineers with high expectations around individual ownership and impact• Help us build meaningful ML products that help tens of millions of users• Assess the risks and merits of different approaches to solving complex problems in the light of the specific requirements and time frame• Actively work on creating and improving tools to parallelize model training, unifying dataset creation and accuracy measurements across experiments• Closely monitor the edge cases of model performance and taking active measures of explaining the reasons and possible approaches for diminishing undesirable effects• Actively follow advancements in AI and ML, and participate in discussions about them with the ML and research teams• Foster a healthy and collaborative culture that embodies ASAPP's values.What you'll need• Management experience on an engineering team• A Bachelors Degree in a field of science, technology, engineering, or math, or equivalent hands-on experience• Experience implementing technical solutions, and tackling tough engineering problems to help build our products. You enjoy solving complex engineering problems and working closely with the Product team to achieve business goals• Experience in Machine Learning methodologies and experience building production-grade solutions• Production experience with Python, AWS, Kubernetes, and/or Docker• Passionate to work on Machine Learning projects and desire to learn new things, work closely with peers from different teams, and help others.What we'd like to see• Production experience with Machine Learning and/or Natural Language Processing• Graduate degree (MS or Ph.D.)• Proven skill at debugging complicated systems and writing solid test cases to ensure their stability• Knowledge of additional languages such as SQL, Go, Javascript, or Typescript is not necessary but will help you work in and lead cross-functional teams.Benefits• Competitive compensation• Stock options• Blue Cross 350 Corp for the family group• Wellness perks• Learning & development stipend• Connectivity (mobile phone & internet) stipend• Mac equipment• English lessonsASAPP focuses on Machine Learning, Artificial Intelligence, and Natural Language Processing. Their company has offices in New York City. They have a large team that's between 201-500 employees.You can view their website at http://asapp.com or find them on LinkedIn"
Senior Machine Learning Engineer,NA,2023-01-30 12:43:25,https://www.google.com/search?q=Machine+Learning+Jobs+Uruguay&ibp=htl;jobs&sa=X&ved=2ahUKEwi4u7bshvD8AhUBK30KHfZiB7YQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=z-5TQURt6CQAAAAAAAAAAA%3D%3D&fpstate=tldetail,EPAM Systems,Full-time,NA,Uruguay,"EPAM is a leading global provider of digital platform engineering and development services. We are committed to having a positive impact on our customers, our employees, and our communities. We embrace a dynamic and inclusive culture. Here you will collaborate with multicultural teams, contribute to a myriad of innovative projects that deliver the most creative and cutting-edge solutions, and have an opportunity to continuously learn and grow. No matter where you are located, you will join a dedicated, creative, and diverse community that will help you discover your fullest potential.DESCRIPTIONWe are looking for aSenior Machine Learning Engineer who can design and implement standardized processes and technology capabilities for building, deploying and operating ML systems rapidly and reliably. To provide leadership in defining and implementing strategies and tools, working with internal and external stakeholders.Half of the time is dedicated to the hands-on analysis of data... science initiatives, plans, and ML-powered products. In contrast, the other half is spent building data and modelling pipelines, tools, and applications to automate that process.OUR VALUE, OUR PEOPLEWe aim to deliver truly transformative solutions around the world, with top-notch technologies, in high-performance professional teams. But none of these would be possible without our people, and thats where you come in.As an EPAMer you will always be expanding your knowledge, facing and addressing the biggest challenges, and becoming the best version of yourself, both personally and professionally. We care about your development, and to support your growth in the company, there are many career paths you can follow within ourEngineering & Advanced Engineering tracks. Plus, youll be constantly working in multicultural teams with people from North America & Europe that will bring out the best of you.WHAT YOULL DO• Own and contribute to ML pipeline design, development, and operating lifecycle based on best practices• Design, create, maintain, troubleshoot, and optimize ML pipeline steps• Own and contribute to the ML prediction endpoints design and Implementation• Cooperate with Data System Engineers to configure ML lifecycle management environment• Write specifications, documentation and user guides for developed applications• Materialize ML pipelines created by data scientists• Cooperate with data scientists on the design and implementation of predictive models• Collaborate with data scientists and engineering team to optimize ML pipeline performance• Support improvement of coding practices and repository organization in the data science work cycle• Contribute to the exploration and understanding of new tools and techniques and propose improvements• Establish and configure CI/CD pipelines for Data projects• Define ML Engineering best practices within data science and product teams• Continuously identify technical risks and gaps, devise mitigation strategies• Identify and cover hidden technical debt in ML systemsWHAT YOU HAVE• Experience working as a ML Engineer• Experience working with one of the following MLOps related technologies• AWS SageMaker• Azure ML• GCP Vertex AI/AI Platform• Experience working with one of the following technologies• Databricks• MLFlow• Kubeflow• TensorFlow Extended (TFX)• Spark ML• Airflow• Argo Workflow• Expert level in Python, Java, or Scala• Strong sense of leadership and growth mindset• Fluent English (B1+)NICE TO HAVE• Experience with different types of databases: Relational, NoSQL, Graph, Document, Columnar, Time Series• Experience in CI/CD• Experience with IaC tools such as: Ansible or Terraform• Experience with Docker & Kubernetes• Experience with R Studio and R LanguageWE OFFER• We trust our people. We believe in team distribution and that you know what you are doing, which is why you will be able to work remotely and have a flexible schedule• We are both proud of working within a diverse and inclusive environment and acting in our role as an equal opportunities employer. You are welcome at EPAM for who you are• You will be challenged while working side-by side with the best talent globally. We work with top-notch technologies, constantly seeking out new industry trends and best practices• We are a global design community eager to share knowledge, experiences, and mentoring. You will learn, contribute, and grow with us• How does it sound to know you can have a 20+year career with us constantly growing and without the need to look elsewhere We offer access to learning platforms, classes, and workshops to support your development. You will be set up for success with our clear career paths and support in helping you achieve the goals you set for yourself, both personal and professional• We seek improvement in a proactive manner. You have the freedom to make recommendations, suggestions or simply comment on things without the pressure of adhering to hierarchy or strict processes• We work with a broad range of clients: Media, Entertainment, Life Sciences, Automotive, Finance, Technology, and Travel. You will play a key role in growing their business and potentially work in multiple new industries"
Data Engineer,NA,2023-01-30 12:43:26,https://www.google.com/search?q=Machine+Learning+Jobs+Uruguay&ibp=htl;jobs&sa=X&ved=2ahUKEwi4u7bshvD8AhUBK30KHfZiB7YQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=HizpN3NAVfQAAAAAAAAAAA%3D%3D&fpstate=tldetail,SweatWorks,Contractor,NA,Uruguay,"We are looking for a Data Engineer to drive the architectural design, implementation plan, best practices, and testing plans for projects involving petabytes of data, which will serve as the foundation for advanced analytics and machine learning tasks to be performed by data scientists on top of that infrastructure.Responsibilities of a Data Engineer:Define, build and maintain data pipelines & publish data models for the analysis of a high-volume of product analyticsEnable data-driven decision making through interactive dashboards and self-service analytics toolsDesign and implement data platforms for large-scale, high performance and scalable requirements, integrating data from several data sources, managing structured and unstructured data while melding existing warehouse structures.Analyze, diagnose and identify bottlenecks in data workflows.Design and implement product features in collaboration with data engineers, data scientists , product owners & business... partnersParticipate in demos to clients as well as requirements elicitation and translation to systems requirements (functional and nonfunctional)YOUR SKILLSEducation and Experience:Strong general programming skills (Python, R, SQL)Solid engineering foundations (good coding practices, good data pipeline architectural design skills).Experience developing solutions within AWS Services framework (Redshift, EC2, RDS, Lambda, etc.)Experience building cloud scalable, real time and high-performance data lake solutions like SnowflakeProficiency designing and implementing ETL processes, dealing with big volumes (PB scale) of data.Advanced English level.Preferred but not necessary:Experience in FitTech/healthTech industry is a huge plus, but not requiredKnowledge and experience in statistical and data mining techniques is a big plusExperience working with SQL in advanced scenarios that require heavy optimizationExperience with SnowflakeExperience with data migration projects across cloud environments (GCP, AWS)SweatWorks focuses on Fitness and Hardware + Software. Their company has offices in United States. They have a mid-size team that's between 51-200 employees.You can view their website at https://www.sweatworks.net"
"Senior Machine Learning Engineer, Speech Modeling",2023-01-06,2023-01-30 12:43:26,https://www.google.com/search?q=Machine+Learning+Jobs+Uruguay&ibp=htl;jobs&sa=X&ved=2ahUKEwi4u7bshvD8AhUBK30KHfZiB7YQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=11DWFmT1HOAAAAAAAAAAAA%3D%3D&fpstate=tldetail,ASAPP,Full-time,NA,Uruguay,"At ASAPP, we are on a mission to build transformative machine learning-powered products that push the boundaries of artificial intelligence and customer experience. We focus on solving complex, data-rich problems  the kind where there are huge systemic inefficiencies and where a real solution will have a significant economic impact. Our CX performance platform uses machine learning across both voice and digital engagement channels to augment and automate human work, radically increasing productivity and improving the efficiency and effectiveness of customer experience teams.We are looking for a new member to join our Speech Research team. As a part of our team, you will develop, deploy, and scale speech recognition models. You'll work with our senior product team, engineers, and researchers to develop high-quality software that is robust and reliable. Youll be faced with new technical challenges and things to learn about ML and software engineering on a daily basis.If you thrive... in an environment of deep thinking, impactful research, and startup-paced execution, ASAPP is the ideal place for you. We are looking for customer-oriented engineers that are excited by working in a fast paced environment with close collaboration with customer teams and with a thirst to build solutions that solve real-world problems for our customers.As our operations keep growing, we encourage applicants from all locations in Uruguay to apply.What you'll do• Help us turn research into meaningful ML products that help tens of millions of users• Assess the risks and merits of different approaches to solving complex problems in the light of the specific requirements and time frame• Actively work on creating and improving tools to parallelize model training, unifying dataset creation and accuracy measurements across experiments• Closely monitor the edge cases of model performance and taking active measures of explaining the reasons and possible approaches for diminishing undesirable effects• Be actively involved in the process of productizing research experiments into enterprise-ready AI solutionsWhat you'll need• Production experience with Python, AWS, Kubernetes, and/or Docker.• Proven skill at debugging complicated systems and writing solid test cases to ensure their stability• Experience implementing technical solutions, tackling tough engineering problems to help build our products.• You enjoy solving complex engineering problems working closely with the Product team to achieve business goals.What we'd like to see• A Bachelors Degree in a field of science, technology, engineering or math, or equivalent hands-on experience• Desire to learn new things, work closely with peers from different teams, and be open to teach and learn from others.• Passion for Machine Learning and solving problemsBenefits• Competitive compensation• Stock options• Blue Cross 350 Corp for the family group• Wellness perks• Learning & development stipend• Connectivity (mobile phone & internet) stipend• Mac equipment• English lessonsASAPP is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, disability, age, or veteran status. If you have a disability and need assistance with our employment application process, please email us at careersasapp.com to obtain assistance. #LI-MK1 #LI-Remote"
data-scientist-1668535798421827,NA,2023-01-30 12:43:26,https://www.google.com/search?q=Machine+Learning+Jobs+Uruguay&ibp=htl;jobs&sa=X&ved=2ahUKEwi4u7bshvD8AhUBK30KHfZiB7YQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=QUQD27axWu0AAAAAAAAAAA%3D%3D&fpstate=tldetail,Marvik,Full-time,NA,Uruguay,"Data ScientistCurrently, we are looking for a skillful Data Scientist to research, design and implement machine learning models and perform data analysis tasks for different business use cases.What do we offer• Opportunity to work remote.• Challenging projects• Use state of the art machine learning algorithms and techniques• Opportunity to join a growing startup with multiple professional development opportunities• Work on stuff other people only read about• Excellent work environment, full of highly-motivated and talented young professionals.Responsibilities:• Willing to take ownership of data analysis and machine learning development solutions• Collaborating with the development team to integrate machine learning solutions into different projects• Being proactive in proposing new solutions and alternatives, eager to learn new state of the art solutions• Working with computer vision problems, use latests NLP models, work with latest libraries and frameworks... (Tensorflow, Pytorch, etc)Requirements:• Experience in data science and/or machine learning engineer roles• Knowledge of popular machine learning techniques and algorithms• Experience in NLP, Computer vision or predictive analytics• Advanced English• With good communication skills, proactive and eager to take on new challenges and learn new things• You are a team player and have good interpersonal skills• Familiarity with scrum or agile methodologies• Required Tools: Jupyter Notebooks, Google Colab, Python, Tensorflow, SQL, GitIts a plus:• Experience in Pytorch, AWS (or GCP, Azure)• Research experience or software background• Experience leading teams"
Lead Frontend Engineer,2023-01-27,2023-01-30 12:43:27,https://www.google.com/search?q=Machine+Learning+Jobs+Uruguay&ibp=htl;jobs&sa=X&ved=2ahUKEwi4u7bshvD8AhUBK30KHfZiB7YQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=MqKms2CngVYAAAAAAAAAAA%3D%3D&fpstate=tldetail,ASAPP,Full-time,NA,Uruguay,"At ASAPP, we are on a mission to build transformative machine learning-powered products that push the boundaries of artificial intelligence and customer experience. We focus on solving complex, data-rich problems  the kind where there are huge systemic inefficiencies and where a real solution will have a significant economic impact. Our CX performance platform uses machine learning across both voice and digital engagement channels to augment and automate human work, radically increasing productivity and improving the efficiency and effectiveness of customer experience teams.Youll define, code, test and deploy new features with an emphasis on performance. Using the latest HTML5, CSS, and JS techniques, youll produce highly-performant, informative, and beautiful user experiences for our clients. Continually evaluating and instilling best practices into the development process, including automated testing, code organization and style, and front-end application architecture.As our... operations keep growing, we encourage applicants from all locations in Uruguay to apply.What you'll do• Be a key partner of our product and design teams, to help them build new features• Focus on delivering great user experiences• Communicate with other teams to deliver a unified and seamless UX across all of our applications• Create user interfaces that can handle both simple and complex interactions, including trees, graphs and flowcharts• Collaborate to take our development to the next level: bring new ideas, frameworks, technologies and best practices• Contribute to the growth of the team by engaging in the recruiting process• Stay up to date with the latest web technologies and share your knowledge as appropriateWhat you'll need• Bachelors degree in Computer Science or related field, or equivalent experience• A minimum of 5 years of front-end software development experience• Advanced JavaScript knowledge and experience working with React• In-depth knowledge of modern HTML, CSS and the DOMWhat we'd like to see• A proactive self-starter, curious, energetic and upbeat• Experience with ReactJS or AngularJS and Redux, Typescript, NodeJS, VueJS or similar tools (we use React with Hooks, but we'll teach you if you haven't used it)• A team player with strong communication and problem-solving skillsBenefits• Competitive compensation• Stock options• Blue Cross 350 Corp for the family group• Wellness perks• Learning & development stipend• Connectivity (mobile phone & internet) stipend• Mac equipment• English lessonsASAPP is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, disability, age, or veteran status. If you have a disability and need assistance with our employment application process, please email us at careersasapp.com to obtain assistance"
Machine Learning Engineer,2023-01-10,2023-01-30 12:43:27,https://www.google.com/search?q=Machine+Learning+Jobs+Uruguay&ibp=htl;jobs&sa=X&ved=2ahUKEwi4u7bshvD8AhUBK30KHfZiB7YQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=Mh5SY4R2fBoAAAAAAAAAAA%3D%3D&fpstate=tldetail,Montevideo Labs,Full-time,NA,"Montevideo, Montevideo Department, Uruguay","Are you interested in designing and building world-class ML products using the best technologies Join us at Montevideo Labs to work for a top US tech company!With over 10 years of experience in the field of big data, top US tech firms spawn out of MIT and Harvard choose us to develop innovative products. We offer a unique opportunity to work from Uruguay while collaborating with highly talented engineers from world-class industry leaders.What is this position aboutWere looking for an engineer who will be working to build state of the art ML products and platforms that will directly impact the customer user experience. This position will give you the opportunity to unleash your potential while building products from the ground up and collaborating with remote world-class engineers.What skills are we looking for-Strong Python and Java,-Building data and ML pipelines (Spark, Pandas, Dask) using orchestrators such as Airflow-Proficient in cloud technologies such as AWS... or GCP,-Experience working with containerized applications (knowledge of Kubernetes as plus)-Seasoned use of basic data science libraries such as scikit-learn and SparkML-Ability to learn other libraries (e.g. Pytorch, Tensorflow)-Wrapping models in REST or gRPC services-Deep understanding of data structures, algorithms and software design concepts,-Strong analytical skills and desire to write clean, correct and efficient code.How much experience must I haveWere looking for a senior engineer with relevant experience in building and deploying ML/AI apps to production in real time and batch mode at scale. We expect the candidate to be proficient in Python and Java production level coding and be able to ramp up quickly on new tech staks. Additionally were looking for an engineer who is able to break down complex problems into simple solutions, can work independently, enjoys moving quickly and working with smart talented peers. The candidate will have the opportunity to interview with the client.Our perks include: All the equipment you need to harness your talent (Macbook and accessories). Flexible working options to help you strike the right balance. Mentoring and Development opportunities. Learning opportunities:AWS Certifications (we are AWS Partners).Study plans, courses and other certifications.English Lessons. Travel opportunities to meet clients or participate in conferences. Anniversary and birthday gifts. Lunch, snacks and beverages available everyday (headquarters"
Data Engineer for Data Science,2023-01-18,2023-01-30 12:43:27,https://www.google.com/search?q=Machine+Learning+Jobs+Uruguay&ibp=htl;jobs&sa=X&ved=2ahUKEwi4u7bshvD8AhUBK30KHfZiB7YQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=_4wlFJP00uEAAAAAAAAAAA%3D%3D&fpstate=tldetail,Trafilea,Full-time,NA,Uruguay,"About TrafileaTrafilea is a global company that builds communities and transformative brands. We own the brands and take care of the entire customer journey, to deliver wow-worthy experiences that influence and empower millions of people globally.Our culture is fast-paced and dynamic. We are data-driven enthusiasts, passionate about marketing, exponential technologies, and innovation.We have over 300 hundred employees working around the world, connected by the same purpose and core values. Our support for this new way of working has led to being featured in Forbes and FlexJobs as one of the Top 25 Companies for Remote Workers.We are looking for dynamic, dedicated, and committed individuals with a strong desire to grow, that can drive the brand forward on its truly exciting journey.Our Brands: Shapermint & Truekind.We are looking for a data engineer for our data science team, to build and maintain data pipelines and data model pipelines for new and existing products in the... companys ML platform, that will impact directly on the Trafileas growth. Must be passionate about data architecture, ML pipeline automation and on-cloud deployments to create scalable and reliable frameworks to ensure cost-effective and accurate data extraction, transformation and modeling pipelines.Expected outcomes & responsibilities• Maintain the current Machine Learning Platform and propose new optimizations and initiatives to improve reliability and overall robustness.• Development of new ETLs, using the current Python framework and proposing new improvements to it.• Maintain and improve the current Apache Airflow.• Carry out the correct monitoring of issues in the extraction of data, the volume of data transferred and the number of services with issues and propose improvements for efficient consumption of data through APIs.• Work side by side with the Data Scientist main Architect to create and ensure best practices and guidelines are being used properly on the Data Lake management.• Assess and communicate effectively the effort for required developments.• Maintain the real time alerting framework ensuring 100% availability.• 2-3 years of experience as a Data Engineer, ML Engineer, or similar.• 2+ years of experience using Python object-oriented programming and scripting.• 2+ years of experience with the AWS data ecosystem (S3, Glue, Athena, Redshift, Lambda, EC2, RDS, EMR, VPC, ECS/EKS, ..).• Strong experience creating data pipelines and ETL processes in modern technologies using Apache Airflow as main workflow management tool.• Strong experience using source control management and CI/CD (GitHub actions/Gitlab pipelines).• Experience with containerized (Docker, Kubernetes) environments in AWS using EKS/ECS and ECR.• Experience with large-scale data and query optimization techniques using SQL.• Experience managing and monitoring data lakes systems.• Nice to have: Knowledge and hands-on on cloud stream-processing systems.• Nice to have: Hand-on IAC solutions like Terraform or CloudFormation.What We Have to Offer• Proximity doesnt influence productivity. As a globally distributed team, you can live and work wherever you want.• A rich experience including the opportunity to collaborate with world-class talents. Encouraging transparency and open communication to all.• A data-driven, dynamic, energetic work environment, full of talented, goal-oriented, and empathetic people working together to grow and develop both as professionals and human beings.• A safe space to be who you truly are. We embrace and support diversity, equity and work hard every day to keep becoming more inclusive.• Openness to new ideas and initiatives: You can always join a squad, tribe, or committee, start new ones. Bring your hobbies and passions and transform them into projects"
