Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Azerbaijani Speaker,2023-01-30,2023-01-30 12:11:47,https://www.google.com/search?q=Machine+Learning+Jobs+Azerbaijan&ibp=htl;jobs&sa=X&ved=2ahUKEwirzpTk_-_8AhXVPn0KHVV_BFUQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=4EeQLK2-QRkAAAAAAAAAAA%3D%3D&fpstate=tldetail,TELUS International AI Data Solutions,Part-time,NA,"Sumqayit, Azerbaijan","TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.comWe are hiring Personalized Internet Assessors in Azerbaijan (Azerbaijani Language)In this role you will be reviewing online search results in order to improve their content and quality. You will be required to provide feedback and analysis on content found in search engine results and provide ratings on their... relevance to the search terms used. Another aspect of this role will involve reviewing the language used in the search results by examining grammar, tone and cultural relevance.Through this work you will be making a valuable contribution by expressing your opinion on the quality and content of what is currently out there on the web. You will play a part in improving the quality of one of the largest search engines in the world using both your PC and Smartphone.Who is suitable for this roleWe are currently seeking dynamic and creative people who have a strong interest in social media, specifically those who are an active daily user of their Gmail account. We also require suitable candidates to own & use an Android or iPhone and have a familiarity with other forms of social media and Google products. You should also be flexible, reliable and have the ability to interpret and follow established guidelines.You will have the flexibility and freedom to work from your own home, working your own hours. We are currently seeking people who have a specific smartphone device (Android V4.2 or higher or iPhone running iOS version 13.0 or higher) to complete tasks.What are the main requirements for the role• You must have full professional proficiency in both written and verbal English & Azerbaijani• You must be living in Azerbaijan for the last 5 consecutive years• You must own and use a Smartphone (Android V4.2 or higher or iPhone running iOS version 13.0 or higher) to complete tasks• The majority of the task types will require both a desktop/laptop and a smartphone• Gmail must be your primary email• Active daily user of Gmail and other forms of social media• You must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in Azerbaijan• Access to and use of a broadband internet connection and associated computer and software to perform the work, all provided at your own expense• Experience in use of web browsers to navigate and interact with a variety of contentWorking on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks.Why Join the TELUS International AI Community• Earn extra income• Access to our community wellbeing initiative• Remote work & Location Independence• Be your own boss• Flexible Hours to fit in with your lifestyle• Be a part of an online communityWhats nextIf this sounds like a role youd be interested in taking on, please apply below.https://www.telusinternational.ai/cmp/contributor/jobs/available/667"
Azerbaijani Speaker (Work From Home),2023-01-26,2023-01-30 12:11:48,https://www.google.com/search?q=Machine+Learning+Jobs+Azerbaijan&ibp=htl;jobs&sa=X&ved=2ahUKEwirzpTk_-_8AhXVPn0KHVV_BFUQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=EMjLcFpESOwAAAAAAAAAAA%3D%3D&fpstate=tldetail,TELUS International AI Data Solutions,Full-time,NA,Azerbaijan,"TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.comWe are hiring Personalized Internet Assessors in Azerbaijan (Azerbaijani Language)In this role you will be reviewing online search results in order to improve their content and quality. You will be required to provide feedback and analysis on content found in search engine results and provide ratings on their... relevance to the search terms used. Another aspect of this role will involve reviewing the language used in the search results by examining grammar, tone and cultural relevance.Through this work you will be making a valuable contribution by expressing your opinion on the quality and content of what is currently out there on the web. You will play a part in improving the quality of one of the largest search engines in the world using both your PC and Smartphone.Who is suitable for this roleWe are currently seeking dynamic and creative people who have a strong interest in social media, specifically those who are an active daily user of their Gmail account. We also require suitable candidates to own & use an Android or iPhone and have a familiarity with other forms of social media and Google products. You should also be flexible, reliable and have the ability to interpret and follow established guidelines.You will have the flexibility and freedom to work from your own home, working your own hours. We are currently seeking people who have a specific smartphone device (Android V4.2 or higher or iPhone running iOS version 13.0 or higher) to complete tasks.What are the main requirements for the role• You must have full professional proficiency in both written and verbal English & Azerbaijani• You must be living in Azerbaijan for the last 5 consecutive years• You must own and use a Smartphone (Android V4.2 or higher or iPhone running iOS version 13.0 or higher) to complete tasks• The majority of the task types will require both a desktop/laptop and a smartphone• Gmail must be your primary email• Active daily user of Gmail and other forms of social media• You must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in Azerbaijan• Access to and use of a broadband internet connection and associated computer and software to perform the work, all provided at your own expense• Experience in use of web browsers to navigate and interact with a variety of contentWorking on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks.Why Join the TELUS International AI Community• Earn extra income• Access to our community wellbeing initiative• Remote work & Location Independence• Be your own boss• Flexible Hours to fit in with your lifestyle• Be a part of an online communityWhats next• If this sounds like a role youd be interested in taking on, please apply below"
Artificial Intelligence (AI) / Machine Learning Intern,2023-01-11,2023-01-30 12:11:48,https://www.google.com/search?q=Machine+Learning+Jobs+Azerbaijan&ibp=htl;jobs&sa=X&ved=2ahUKEwirzpTk_-_8AhXVPn0KHVV_BFUQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=6TG_GQ-_kwkAAAAAAAAAAA%3D%3D&fpstate=tldetail,Greenie Web,Full-time,NA,Azerbaijan,"Greenie Web is a ClimateTech startup that enables the the green transition through technology.The RoleYour Responsibilities Will Include• Creating predictive and prescriptive models that could have a positive impact on the business.• Driving data modelling activities ranging from conceptualization, visualization to operationalization.• Performing statistical analysis on historical data to validate models.• Working across stakeholders to identify and capitalize on opportunities to leverage data to drive business solutions.• Gathering and evaluating user feedback.• Providing code documentation and other inputs to technical documents.• Supporting continuous improvement by investigating alternatives and new technologies and presenting these for architectural review.• Troubleshooting and debugging to optimize performance.Ideal ProfileSkills Required• You possess a minimally a bachelor's degree, ideally in Mathematics, Statistics, Computer Science or related field.• You... have at least 1 year experience, ideally within a Software Engineer or Data Scientist role.• Ability to write and execute complex queries in SQL or similar• You are highly goal driven and work well in fast paced environments• You are a self-starter and demonstrate a high level of resilience• You pay strong attention to detail and deliver work that is of a high standardWhat's on Offer• Opportunity to make a positive impact• Flexible working options• Leadership Role"
Remote Data Scientist Jobs,2023-01-21,2023-01-30 12:11:48,https://www.google.com/search?q=Machine+Learning+Jobs+Azerbaijan&ibp=htl;jobs&sa=X&ved=2ahUKEwirzpTk_-_8AhXVPn0KHVV_BFUQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=T1s-cqeIB0sAAAAAAAAAAA%3D%3D&fpstate=tldetail,Turing,Full-time,NA,Azerbaijan,"A leading business that aims to develop life-saving cancer therapies using cutting-edge science and machine learning is looking for a Data Scientist. The selected candidate will be working closely with the algorithm and data sciences team to fine-tune data architecture. The company is looking for opportunities to create new therapies that significantly improve clinical outcomes by developing the first true multi-omics target discovery and development platform. This will be a full-time position that requires some overlap with the EST/PST time zone.Job Responsibilities:• Bring advanced computational skills to bear on a critical problem in cancer treatment• Propose, develop, and validate novel methods of proffering solutions• Iteratively, experimentally, and scientifically generate high-value pipelines on existing general data• Operate and function actively in a multidisciplinary environmentJob Requirements:• Bachelors/Masters degree in Engineering, Computer Science (or... equivalent experience)• At least 3+ years of relevant experience as a data scientist• Extensive experience with Machine Learning, Python, Pandas, R, TensorFlow, and Keras• Familiarity with PyTorch, Scikit-Learn, and Jax• Expertise in executing in-depth data examination in industrial or academic settings• Must be comfortable building an extensive background in the field• Readiness to work across functional teams is paramount• Be a culture setter by embodying principles of integrity, mutual respect, purpose, and collaboration• Experience working with *omics datasets and a working knowledge of CRISPR and Cancer Biology is nice to have"
Azerbaijani Speaker (Work From Home),2023-01-22,2023-01-30 12:11:49,https://www.google.com/search?q=Machine+Learning+Jobs+Azerbaijan&ibp=htl;jobs&sa=X&ved=2ahUKEwirzpTk_-_8AhXVPn0KHVV_BFUQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=nihlIvmIInAAAAAAAAAAAA%3D%3D&fpstate=tldetail,TELUS International AI Data Solutions,Part-time,NA,"Sumqayit, Azerbaijan","Our CompanyTELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.comWho is suitable for this workWe are looking for dynamic people who have strong communication skills and use the Internet daily. This is a freelance, independent contractor position. You will have the flexibility and freedom to work from your own home, working your own hours.What does the work... involveIn this job you will be reviewing online advertisements in order to improve their content, quality and layout. You will be required to provide feedback and analysis on advertisements found in search engine results and provide ratings on their relevance to the search terms used. Another aspect of this opportunity will involve reviewing the language used in advertisements by examining grammar, tone and cultural relevance.As a Personalized Internet Ads Assessor your ultimate goal will be to contribute towards making internet search and online advertising more relevant and interesting for all Russian speakers in Estonia.Requirements• You must be living in Estonia for the last 3 consecutive years• Suitable candidates must have full professional proficiency in English and Russian• Access to and use of a broadband internet connection and associated computer and antivirus software to perform the work, all provided at your own expense• Experience in use of web browsers to navigate and interact with a variety of content• Access to and use of an Android (version 4.1 or higher) or IOS Smartphone (version 8 or higher) to complete tasks• A Barcode Scanner application must be installed on your smartphone to complete certain tasks• Active daily user of Gmail and other forms of Social MediaWorking on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a part time project and your work will be subject to our standard quality assurance checks during the term of this agreement.Why join the TELUS International AI Community• Earn extra income• Access to our community wellbeing initiative• Remote work & Location Independence• Flexible Hours to work around home life• Better Work-Life Balance• Be a part of an amazing online community•"
