Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Lead Software Engineer,2023-01-25,2023-01-30 12:27:32,https://www.google.com/search?q=Machine+Learning+Jobs+Kazakhstan&ibp=htl;jobs&sa=X&ved=2ahUKEwi28Pmlg_D8AhUnHDQIHctmDwgQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=qXrTxt3fSuMAAAAAAAAAAA%3D%3D&fpstate=tldetail,AI Superior,Full-time,NA,Kazakhstan,"AI Superior is a company that creates innovative products relying on machine learning and AI technologies. We are working across multiple verticals building rapid prototypes, as well as end-to-end products to help our customers to solve complex business challenges and provide a unique user experience.For our geospatial product (GIS-based platform), we are looking for a Software Developer Tech Lead who would help to shape and implement the components and the overall platform with a focus on performance, scalability, and sustainability. The role assumes a person being a strong individual contributor (hands-on mentality) as well as an experienced technical lead who can drive and coordinate the team to develop a quality solution.Responsibilities:• You collaborate with stakeholders to refine our tech vision and develop the architecture roadmap• You coordinate engineering activities with cross-functional teams (data scientists, data engineers, ML engineers)• You communicate the... schedule, priorities, and next steps to all involved• You identify development directions evaluating existing systems and technologies• You contribute to the development process and ship good-quality code fast• You provide code quality assurance and control technical debt• You choose pragmatic approaches to solve problemsWhat you need:• 5+ years of industrial experience in software development• Experience working in a remote, agile, and international environment• Ability to scale Software-as-a-Service• Experience with SQL and no-SQL databases• Hands-on on any CI/CD tools (GitLab, bitbucket, Jenkins) for QA, deployment, etc.• Experience with Kubernetes or other container orchestration tools• Strong expertise in Python and main data science libraries• Experience with AWS, GC, or Azure services• Know-how in a microservice architecture• Strong technical writing skills and fluent English• Working with a high degree of self-responsibility and a goal-oriented approachNice to have:• Experience in designing and building GIS and AI solutions• Experience with AI cloud services• Experience with any python backend (flask, Django, fastap)• Know-how in frontend development• Previous experience with Geosolutionsgroup productsConditions:• Full-time remote position• Flexible working hours• Ability to grow with the organization and affect the processes• Competitive salary and benefits"
Deep Learning Specialist,2023-01-13,2023-01-30 12:27:32,https://www.google.com/search?q=Machine+Learning+Jobs+Kazakhstan&ibp=htl;jobs&sa=X&ved=2ahUKEwi28Pmlg_D8AhUnHDQIHctmDwgQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=Ea-dmevsCyIAAAAAAAAAAA%3D%3D&fpstate=tldetail,MII,Part-time,NA,Kazakhstan,Looking for a Deep Learning specialist to join the team. We are doing a service where you can see the finished interior design for your apartment.Responsibilities:Obtain room areas and utilities data from stock layouts.Qualifications:Knowledge of Matlab and Machine Learning.
Senior Data Scientist,NA,2023-01-30 12:27:32,https://www.google.com/search?q=Machine+Learning+Jobs+Kazakhstan&ibp=htl;jobs&sa=X&ved=2ahUKEwi28Pmlg_D8AhUnHDQIHctmDwgQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=Y_0f1oAeiqIAAAAAAAAAAA%3D%3D&fpstate=tldetail,Siemens,Full-time,NA,"Almaty, Kazakhstan","TOO Elite opens the position of the Senior data scientist in Almaty. The candidate will be provided to TOO Siemens for the services rendering.What are the responsibilities Participate in development of analytic components in industrial intelligent systems for anomaly detection, predictive analytics, forecasting, signal processing Dive into huge, noisy, and complex real-world behavioral data to produce innovative analysis and new types of predictive models of engineering behaviors and manufacturing processes performance Explore the untapped potential of big data for design, engineering and analysis tasks and devise revolutionary approaches Advance the state-of-the-art in the field, including generating patents and publications in top journals and conferences Apply deep learning techniques to large-scale, real-world problems Fast prototyping, feasibility studies, specification and implementation of data analysis product components Working with customers to... understand algorithm requirements and deliver high-quality solutionsWhat are the requirements Degree in mathematics and/or statistics Practical experience in data mining, machine learning, knowledge discovery, artificial intelligence, signal processing, time series forecasting Hands-on advanced proficiency in handling and analyzing large data sets Knowledge in optimal computational environment required for data processing, mining and machine learning Programming languages: Python Scientific publications and references or proven successful industry experience Great interest and motivation for applied research Good command in spoken EnglishWould be beneficial to have experience with: Solving computer vision problems Deep Learning tools like TensorFlow, PyTorch Information technology aspects of data collection, organization, and integration AWS, GCP, AzureThe company offers great experience and expertise development: the position holder will be involved in development of applications in such areas as industrial monitoring and analytics, power grids optimization, leak detection in the pipelines, and many others. The business demands new ways of data processing, analysis and visualization, as well as performance optimization and process management based on cutting-edge technologies in web, big data and streaming.#LI-NS1Organization: TechnologyCompany: Siemens TOOExperience Level: Experienced ProfessionalFull / Part time: Full-time"
Part-time Internet Assessor in Kazakhstan | Work from Home,2023-01-11,2023-01-30 12:27:33,https://www.google.com/search?q=Machine+Learning+Jobs+Kazakhstan&ibp=htl;jobs&sa=X&ved=2ahUKEwi28Pmlg_D8AhUnHDQIHctmDwgQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=WCAXMkfYTIoAAAAAAAAAAA%3D%3D&fpstate=tldetail,TELUS International AI Data Solutions,Part-time,NA,"Astana, Kazakhstan","TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community.We are hiring Russian Personalized Internet Assessors in Kazakhstan!In this role, you will be reviewing online search results in order to improve their content and quality. You will be required to provide feedback and analysis on content found in search engine results and provide ratings on their relevance to the search terms used... Another aspect of this role will involve reviewing the language used in the search results by examining grammar, tone and cultural relevance.Through this work, you will be making a valuable contribution by expressing your opinion on the quality and content of what is currently out there on the web. You will play a part in improving the quality of one of the largest search engines in the world using both your PC and Smartphone.You will have the flexibility and freedom to work from your own home, working your own hours.What are the main requirements for the role• You must be fluent in both written and verbal English & Russian• You must be currently living in Kazakhstan• You must own and use a Smartphone (Android V4.2 or higher or iPhone running iOS version 13.0 or higher) to complete tasks• The majority of the task types will require both a desktop/laptop and a smartphone• Gmail must be your primary email• Active daily user of Gmail and other forms of social media• You must have familiarity with current and historical business, media, sports, news, social media, and cultural affairs in Russia• Access to and use of a broadband internet connection and associated computer and software to perform the work, all provided at your own expense• Experience in the use of web browsers to navigate and interact with a variety of contentInterested Please follow the steps below to apply:1. Create an account here:https://www.telusinternational.ai/cmp/contributor/jobs/available/3102. Click ""Sign Up"" and answer the necessary fields.3. Check your email inbox to confirm your email and set up your password and account. Please check your spam/junk folder as well.4. Select Kazakhstan as your country and Russian (Kazakhstan) as your primary language. Please note that you must set up your country and primary language correctly in order to view this project.5. Once you complete the registration process, click the ""Apply"" button to start your application process for the project.Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks.Why Join the TELUS International AI Community• Earn extra income• Access to our community well-being initiative• Remote work & Location Independence• Be your own boss• Flexible Hours to fit in with your lifestyle• Be a part of an online community""All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status"
Artificial Intelligence (AI) / Machine Learning Intern,2023-01-10,2023-01-30 12:27:34,https://www.google.com/search?q=Machine+Learning+Jobs+Kazakhstan&ibp=htl;jobs&sa=X&ved=2ahUKEwi28Pmlg_D8AhUnHDQIHctmDwgQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=qQFLUDb790UAAAAAAAAAAA%3D%3D&fpstate=tldetail,Greenie Web,Full-time,NA,"Zhalagash, Kazakhstan","Greenie Web is a ClimateTech startup that enables the the green transition through technology.The RoleYour Responsibilities Will Include• Creating predictive and prescriptive models that could have a positive impact on the business.• Driving data modelling activities ranging from conceptualization, visualization to operationalization.• Performing statistical analysis on historical data to validate models.• Working across stakeholders to identify and capitalize on opportunities to leverage data to drive business solutions.• Gathering and evaluating user feedback.• Providing code documentation and other inputs to technical documents.• Supporting continuous improvement by investigating alternatives and new technologies and presenting these for architectural review.• Troubleshooting and debugging to optimize performance.Ideal ProfileSkills Required• You possess a minimally a bachelor's degree, ideally in Mathematics, Statistics, Computer Science or related field.• You... have at least 1 year experience, ideally within a Software Engineer or Data Scientist role.• Ability to write and execute complex queries in SQL or similar• You are highly goal driven and work well in fast paced environments• You are a self-starter and demonstrate a high level of resilience• You pay strong attention to detail and deliver work that is of a high standardWhat's on Offer• Opportunity to make a positive impact• Flexible working options• Leadership Role"
APPLY NOW AS PERSONALIZED INTERNET ADS ASSESSOR (KAZAKHSTAN),2023-01-17,2023-01-30 12:27:34,https://www.google.com/search?q=Machine+Learning+Jobs+Kazakhstan&ibp=htl;jobs&sa=X&ved=2ahUKEwi28Pmlg_D8AhUnHDQIHctmDwgQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=9RQGkSnJ-zYAAAAAAAAAAA%3D%3D&fpstate=tldetail,TELUS International AI Data Solutions,Part-time,NA,"Shymkent, Kazakhstan","Our CompanyTELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.comWho is suitable for this workWe are looking for dynamic people who have strong communication skills and use the Internet daily. This is a freelance, independent contractor position. You will have the flexibility and freedom to work from your own home, working your own hours.What does the work... involveIn this job you will be reviewing online advertisements in order to improve their content, quality and layout. You will be required to provide feedback and analysis on advertisements found in search engine results and provide ratings on their relevance to the search terms used. Another aspect of this opportunity will involve reviewing the language used in advertisements by examining grammar, tone and cultural relevance.As a Personalized Internet Ads Assessor your ultimate goal will be to contribute towards making internet search and online advertising more relevant and interesting for all Russian speakers in KazakhstanRequirements• You must be living in Kazakhstan for the last 3 consecutive years• Suitable candidates must have full professional proficiency in English and Russian• Access to and use of a broadband internet connection and associated computer and antivirus software to perform the work, all provided at your own expense• Experience in use of web browsers to navigate and interact with a variety of content• Access to and use of an Android (version 4.1 or higher) or IOS Smartphone (version 8 or higher) to complete tasks• A Barcode Scanner application must be installed on your smartphone to complete certain tasks• Active daily user of Gmail and other forms of Social MediaWorking on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a part time project and your work will be subject to our standard quality assurance checks during the term of this agreement.Why join the TELUS International AI Community• Earn extra income• Access to our community wellbeing initiative• Remote work & Location Independence• Flexible Hours to work around home life• Better Work-Life Balance• Be a part of an amazing online communityWhats nextPlease follow the steps below on how to apply for the project:1. Create an account2. Click ""Sign Up"" and answer the necessary fields.3. Check your email inbox to confirm your email and set up your password and account.4. Select KAZAKHSTAN/KZ as your country and RUSSIAN (KZ) as your primary language. Please note that you must set up your country and primary language correctly in order to view this project.Once you complete the registration process, click the ""Apply"" button to start your application process for the project.""All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status"
Data Modeler,NA,2023-01-30 12:27:34,https://www.google.com/search?q=Machine+Learning+Jobs+Kazakhstan&ibp=htl;jobs&sa=X&ved=2ahUKEwi28Pmlg_D8AhUnHDQIHctmDwgQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=ECDSdwjhItEAAAAAAAAAAA%3D%3D&fpstate=tldetail,Ryte.ai,Full-time,NA,"Astana, Kazakhstan","About Us:Were a team of physicians, healthcare executives, data scientists and AI experts committed to empowering anyone, anywhere with the insights they need to make well-informed, healthcare decisions. Through the combined power of AI and big data, we have created the first all-in-one solution that provides our users with everything they need to know about medical professionals and facilities. RYTE transforms the comprehensive data we collect on millions of doctors and hospitals worldwide into knowledge that helps individuals and organizations navigate healthcare systems. We believe that a specialist who may be a perfect match for some situations may not be for others. Therefore, we developed a platform that helps you make the right choices for you, not for others. It doesnt matter whether youre an individual seeking the best fit of doctors for your specific problem or an organization in need of knowledge of healthcare providers for your specific needs, RYTE has you... covered.Position Summary:Are you passionate about making information easier to access, more meaningful, and accurate Do you seek perfection in data definition, cataloging, taxonomy, and ontology Are you seeking a challenging environment where you will participate in building a unique Health Data project Please consider this position for your next professional challenge.We are looking for a Data Modeler who will design, manage, and maintain various data models in Healthcare and ensure they are accurate, consistent, and up to date. You will work in a team with Data Scientists, Data Engineers, and Data Analysts to deliver the requirements.A data modeler plans, designs, implements, supports, and documents data architecture and data modeling practices and data-driven solutions based on relational, dimensional, and NoSQL databases.We are looking for a Data Modeler who will collaborate with data curators and data engineers to deliver Health Big Data cloud solutions:• Job Titled: Data Modeler• Job Type: Full-time position• Experience Level: Mid-Level• Language: Russian (fluent), English (fluent), and other languages  are a plus.• Education: Master's degree• Schedule: Full-Time (8-hours,12 p.m. - 09 p.m., 1 hour is lunch), Monday to Friday• Location: Astana office in Kazakhstan• Offline: Office only• Reports: You will be under the supervision of the Senior Data Modeler and working with Data Curation Specialists, Business and Data Analysts, Data EngineersPrimary Responsibilities:• Database and data-warehouse structure design (creating conceptual, logical, and physical data models as Entity-Relationships Diagrams - ERD, and their descriptions).• Searching, information gathering, analysis, comparing, choice rationale on enterprise data modeling tool and its implementation.• Defining and governing data modeling and design standards, tools, best practices, and related development for enterprise data models.• Oversee and govern the expansion of existing data architecture and optimize data query performance via best practices. The candidate must be able to work independently and collaboratively.• Implementing business and IT data requirements through new data strategies and designs across all data platforms (relational, dimensional, and NoSQL) and data tools (reporting, visualization, analytics, and machine learning).• Working with business and application/solution teams to implement data strategies, build data flows, and develop conceptual/logical/physical data models.• Identifying the architecture, infrastructure, and interfaces to data sources, tools supporting automated data loads, security concerns, analytic models, and data visualization.• Hands-on modeling, design, configuration, installation, and performance tuning.RequirementsJob Experience Requirements:• At least 3 years working within a data management role (data modeler; database designer; data analyst; metadata creator/generator/editor; business intelligence consultant or other related roles)• Advanced experience with data analysis, data catalog, and data modeling• Experience with managing/preparing data sets for use in analysis, modeling, or business operations• Experience in health insurance or the healthcare industry is preferred, but those with relevant experience in other industries are a plus.• Experience with medical and/or biomedical data, ontologies, standards, and models is a plus• Experience working with various compliance standards and requirements (GDPR, HIPAA, ISO standards) is a plusEducation Requirements:• Master's degree in Data Analytics, Data Engineering, Computer Science or Information Technology, Software Engineering, Information Science, or other related subjectsHard Skills Requirements:• Have excellent attention to detail• Ability to understand Healthcare industry domain knowledge, needs & requirements• Understanding frameworks, international & industrial standards, and the best practices for data modeling• Understanding knowledge engineering, data engineering practices (theories, methods, tools, approaches)• Experience with Agile practicesProgramming and Tools Skills Requirements:• Good SQL and JSON understanding• Advanced experience with data modeling tools• Familiarity with other programming languages is a plusSoft Skills Requirements:• Hardworking and committed• Working proactively and independently to address project requirements and articulate issues/challenges to reduce project delivery risks• Have the motivation to meet goals/deadlines• Well-organized and able to work individually and within a team• The ability to effectively communicate issues and results, verbally and in writing• Able to multi-task without loss of accuracy• Willing to learn new approaches and practices (disciplines, methods, standards, software, toolBenefitsWe would like to thank all applicants for their interest in this position.Please note that only applicants selected for an interview will be contacted.Ryte Corp. is an equal opportunity employer.If selected for an interview, please advise our Human Resources team if you require accommodation during the interview and assessment process.We will work with applicants to accommodate all accessibility needs"
Data Engineer,NA,2023-01-30 12:27:35,https://www.google.com/search?q=Machine+Learning+Jobs+Kazakhstan&ibp=htl;jobs&sa=X&ved=2ahUKEwi28Pmlg_D8AhUnHDQIHctmDwgQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=dWdGc1XRALIAAAAAAAAAAA%3D%3D&fpstate=tldetail,Ryte.ai,Contractor,NA,"Astana, Kazakhstan","We're a team of physicians, healthcare executives, data scientists and Tech experts committed to empowering anyone, anywhere with the insights they need to make well-informed, healthcare decisions. Through the combined power of AI and big data, we have created the first all-in-one solution that provides our users with everything they need to know about medical professionals and facilities. RYTE transforms the comprehensive data we collect on millions of healthcare providers and medical experts worldwide into knowledge that helps individuals and organizations navigate healthcare systems. Headquartered in Toronto (Canada) and having operations in Canada, France, Kazakhstan, and Philippines, you will join a truly international, multi-cultural, and dynamic workforce driven toward building something unique and that affects Life and Healthcare on a global scale. For more information about Us, please connect with us at www.ryte.ai.We are looking for a Middle to Senior level Data Engineer... (Azure) who will support a small team of developers to deliver a data warehouse solution working within Agile environment. This is a full-time position, working at Nur-Sultan office in Kazakhstan. No remote work for this position. You will be working full time for the Ryte team under the supervision of the Ryte team lead.This is a fixed-term contract.The Role:As a successful candidate, you will bring extensive expertise in the design, framework & methodology of data warehousing, and possess experience in the full stack life cycle from ETL to the Visualization. Additionally, you must possess a unique blend of business and industry savvy; a big-picture vision, and the drive to make that vision a reality. You must enjoy spending time in all business areas to understand their problems and find innovative solutions for the organization.Responsibilities:• Identify, design, and implement working practices across data pipelines, data architectures, testing and deployment• Understand complex business requirements and providing solutions to business problems• Understand modern data architecture approach including event-driven, data streaming and data mesh• Defining data engineering best practice and sharing across the organization• Coaching and mentoring other team members to support their growthRequirements• Experience in designing & Implementing data pipelines, ETL/ELT processes• Good knowledge of SQL and Transact-SQL• Knowledge of PySpark/Scala/Spark SQL essentials• Python or Powershell Scripting• Agile methodology experience essential• CI/CD, Azure DevOps experience, desirable• Experience using the Microsoft Azure Data Stack (ADFv2, Azure SQL DB, Synapse Analytics, Azure Data Lake, Azure Databricks, Cosmos DB) - desirable• 3+ years experience as a Data Engineer• 2+ years current and deep experience with implementing large engagements. Proven experience managing projects through the entire project lifecycle. This includes managing multi-phase/multi-dimensional/multi-resource projects to conclusion while maintaining high customer satisfaction• 2+ years of experience and advanced domain knowledge in one or more vertical industries: manufacturing, financial services, government, legal, healthcare, property management• Highly proficient in spoken and written English"
